Hood_ID,pop_2016,pop_change_percent_2011_2016,num_private_dwellings,pop_density_per_square_km,num_under14,num_15_to_24,num_25_to_54,num_55_to_64,num_65_84,num_85plus
26,35052,1.1,14244,2337,5725,4340,15045,4380,5535,870
83,11785,2.9,5815,8540,1285,1065,6680,1235,1515,175
62,21381,2.6,9535,8038,3735,2210,9990,2805,2650,310
9,15535,4,6606,2840,2120,1805,5940,2385,3290,665
138,22776,-0.2,8199,7051,4180,3130,9180,2825,3505,560
5,9456,-1,3344,3306,1805,1440,3700,1255,1275,145
32,22372,1.3,8858,6466,4805,3030,8385,2430,3725,955
11,18588,-1.2,6977,2171,2635,2405,6910,2855,3765,565
13,11848,8.4,4727,6582,1695,1460,5025,1600,2060,505
44,21933,-1.1,7964,9026,4385,3060,9185,2335,2980,285
102,12806,2.7,5784,8054,2060,1500,5390,1725,2135,350
101,10732,-1.8,5353,4380,1365,1355,4235,1530,2260,325
25,30491,-2.9,10423,5864,5790,4520,11590,3605,5005,700
65,14417,2.4,6443,8582,2460,1305,7240,1765,1640,200
140,9917,1,4044,2673,1295,1065,3370,1555,2635,540
53,15723,38.7,6646,6047,2505,2330,8045,1390,1460,135
88,22162,4.1,11541,11726,2850,1890,11660,2585,3180,550
87,23925,10.1,11526,4893,3540,2125,11570,2870,3800,755
134,12494,-4.6,3907,2403,1545,1925,4620,2020,2395,190
48,16934,-4.1,6642,3148,2115,2170,6060,2265,4305,630
8,10948,3.4,4261,3981,1450,1140,3790,1510,3045,950
21,12416,-0.9,4288,1570,2155,1720,4855,1315,2380,260
22,15545,-1.9,5390,3565,2945,2225,6445,1760,2160,260
106,14365,1.8,6865,7682,2165,1610,7005,1650,1940,280
125,13641,4.2,5312,7031,2310,1645,6050,1720,1890,245
14,43965,15.4,19911,2712,5820,4695,20640,5400,7405,1480
90,14366,2.4,6431,5442,2190,1465,7470,1750,1500,175
110,11058,3.9,4575,6467,1610,1430,4790,1435,1785,230
124,17123,0.4,6885,4770,2775,2175,7120,2510,2550,330
78,17945,-3,9745,11806,1315,3350,8760,1795,2705,480
6,22000,1.3,8159,4356,4240,3020,8635,2550,3585,575
15,9271,1.1,3710,3593,1580,1100,3245,1345,1995,325
114,7985,0.8,3217,4697,1695,905,3310,1050,1025,140
117,43993,-2.1,15486,6144,6120,5730,17210,5930,8990,1345
38,16164,10.4,6943,3038,2420,2105,7590,1910,2160,360
105,14607,0.5,5622,6407,3280,1670,5980,1725,1935,265
103,15179,0.7,6017,4685,2845,2095,5870,2115,2235,315
56,16828,-1.1,6712,3596,3285,2175,6455,2340,2550,400
84,15559,29.1,8095,12859,1400,1605,9385,1325,1855,255
19,10084,4.7,5145,4584,1335,1130,4705,1520,1405,140
132,43794,-2.9,13936,4948,7910,6620,17865,5535,5890,445
29,10111,-0.8,3696,4012,1500,1265,4110,1205,2030,380
12,10554,1.1,4348,3614,1340,1165,3600,1735,2705,535
130,26572,-2.2,7825,2830,3675,3195,10565,4030,5115,880
17,33964,28,20486,4915,3505,3010,17695,4620,5160,565
135,17455,-0.8,6044,3041,2880,2690,6840,2355,2695,355
73,20506,25.8,12513,14753,1540,2060,12530,2495,1900,140
115,13593,3.4,5386,6442,2395,1815,5930,1760,1685,265
2,32954,0.5,10220,7291,7090,5240,13615,3475,3560,300
99,16775,5,7715,5411,2980,1705,7620,2020,2455,260
104,29658,3.7,18495,21969,2380,2520,17100,3030,4605,940
18,11463,5.2,5657,3342,1610,1390,5215,1580,1525,140
50,16097,-2,6470,3926,1585,2185,6860,2155,3320,670
36,23831,3.4,9416,5070,2810,3325,10410,3110,4165,685
82,31180,46.6,19660,10156,2055,2415,23320,1885,1510,95
68,11916,-2.3,5306,6770,1960,1170,5490,1645,1660,140
74,18615,4.4,10109,44321,2290,2265,10350,1970,1740,220
121,13845,2.6,5586,7444,2865,1680,6050,1595,1655,255
107,21210,0.7,9235,9511,3130,2275,9535,2590,3700,540
54,18675,2,7713,3780,3110,2385,7855,2650,2690,430
58,9233,1.3,3960,3997,1470,915,4035,1280,1520,230
80,13826,0.6,6862,9601,1280,1465,7845,1260,1960,290
45,34805,0.5,13921,4691,5840,4680,14780,4265,5250,775
23,10722,23.1,3860,2547,1745,1370,4645,1390,1590,205
67,7804,2,3767,8671,1150,735,3725,970,1220,195
46,15818,-2,5703,5273,2050,2080,6470,2020,3195,355
10,11051,-1.3,3958,2138,1770,1580,3825,1855,2025,325
72,10803,8,5183,16880,1635,1775,5575,1100,730,50
4,10529,0.4,3989,4229,1640,1355,4300,1520,1730,300
111,22246,-0.1,9487,4414,3505,2740,9255,3090,3655,480
86,14974,-0.5,7305,9851,2300,1305,7990,1690,1680,185
98,20923,1.4,10702,4500,2625,2185,7925,3030,5140,750
131,46496,1.3,13730,1260,7960,6700,18510,6690,6625,685
89,10070,4.5,3987,6333,2050,960,4605,1215,1245,195
28,9941,-0.1,3726,4734,1940,1405,3615,1115,1865,365
139,16724,0.7,6133,5395,3365,2360,6685,2095,2225,430
85,21849,2.8,12085,9583,2115,2275,12440,2475,2540,360
70,27876,8.7,12732,3136,3975,2445,15025,3120,3330,520
40,17812,-0.8,6685,2430,2645,2540,6800,2625,3235,410
116,24623,-1.6,8032,5436,3150,2685,9500,3515,5755,955
16,25051,1.5,10896,3199,4060,2495,10660,3660,4165,750
118,27446,0.2,10384,5073,3885,3225,10675,3510,6160,1220
61,15683,0.6,6452,15528,2950,1690,7580,1750,1705,270
63,21567,2.1,9926,6058,3825,2075,9590,3140,2955,265
3,10360,2.2,3472,3130,1730,1410,4160,1195,1880,350
55,21108,9.8,7225,6787,5600,2455,9020,1665,2365,425
81,16556,-1.5,7562,9570,1745,1630,9210,1625,2350,330
79,7607,-2.2,3826,5395,565,1485,3590,650,1320,305
43,17510,1.9,7562,3710,2630,2030,7170,2270,3405,570
77,65913,52,47209,8943,3650,7840,45105,4680,4635,365
136,27392,3.2,10318,2856,4635,3950,10765,3785,4240,625
1,33312,-2.3,11045,1117,5060,5445,13845,3990,4980,615
35,26274,3.3,10454,7339,3440,3355,10865,3500,5130,1000
113,17992,-1,8061,7197,3100,2225,7785,2430,2445,395
91,11098,-7.6,4559,7601,1675,1415,5275,1415,1325,150
119,27917,3.3,10462,2724,4215,3650,11380,3940,4715,905
51,50434,12,23901,10087,5920,6940,25850,5460,6270,830
37,16936,12.9,8054,5820,1785,2230,7480,2070,3370,655
7,22156,3.8,8721,4007,3555,2625,8140,2905,4905,885
137,53485,0.3,19098,4345,9625,7660,21945,6245,8010,1130
64,12541,7.2,5620,7838,2325,1035,6165,1625,1380,170
60,7865,0.5,3604,6722,1165,675,3790,1150,1095,125
94,14349,2.6,6185,8541,1860,1320,6420,1595,3150,880
100,11817,11.7,6103,7162,1800,1225,5860,1325,1600,165
97,12528,7.5,7475,10708,1210,920,5960,1540,2905,470
27,27593,-0.4,11051,2086,4045,4750,12290,2965,3530,400
31,14804,0.8,5847,2451,1960,1870,5860,1810,3295,775
